lam	flux	sigma
9.036996e+03 0.000000e+00 0.000000e+00
9.041530e+03 0.000000e+00 0.000000e+00
9.046066e+03 0.000000e+00 0.000000e+00
9.050605e+03 0.000000e+00 0.000000e+00
9.055146e+03 0.000000e+00 0.000000e+00
9.059689e+03 0.000000e+00 0.000000e+00
9.064234e+03 0.000000e+00 0.000000e+00
9.068782e+03 0.000000e+00 0.000000e+00
9.073332e+03 0.000000e+00 0.000000e+00
9.077884e+03 0.000000e+00 0.000000e+00
9.082439e+03 0.000000e+00 0.000000e+00
9.086996e+03 0.000000e+00 0.000000e+00
9.091555e+03 0.000000e+00 0.000000e+00
9.096116e+03 0.000000e+00 0.000000e+00
